                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9946,                 4.1411,                 1.9801,                0.01286,                0.23585,                0.01324,                0.00508,                 2.3012,                 3.6425,                 1.4371,                      0,                      0,                      0
                      2,                  2.364,                 3.0607,                 1.5605,                0.01325,                0.13208,                0.01453,                 0.0055,                 2.2967,                  3.635,                 1.4423,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.3173,                 3.2554,                 1.5755,                0.02017,                0.11321,                0.01496,                0.00573,                 2.2944,                 3.6341,                 1.4492,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                  2.345,                 3.4423,                 1.4068,                 0.0133,                0.13208,                0.01442,                0.00554,                 2.2923,                 3.6402,                 1.4544,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.3805,                 3.3323,                 1.6574,                0.17486,                0.23585,                0.10649,                0.04064,                 2.1769,                 2.3835,                 1.3588,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.0454,                 2.0314,                 1.4475,                0.34905,                0.32075,                0.20393,                0.08274,                  2.067,                 1.8754,                 1.3028,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.1849,                  1.926,                 1.4436,                0.42543,                0.33962,                0.31599,                0.13104,                 1.9812,                  1.827,                  1.271,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.8386,                 2.1994,                 1.4616,                0.38002,                0.34119,                0.30671,                0.12917,                 1.9744,                 1.8381,                 1.2694,              0.0001303,              0.0001303,              0.0001303
                      9,                 2.0654,                 2.3916,                 1.3214,                0.50359,                0.36792,                 0.3949,                0.16384,                 1.9511,                 1.7685,                 1.2881,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.9109,                 2.1496,                 1.4458,                0.48822,                0.43396,                0.40526,                0.17151,                 1.8973,                 1.6238,                 1.2523,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.9681,                 2.0385,                  1.404,                  0.461,                0.33889,                0.33419,                0.13682,                 1.9407,                 1.9183,                 1.2654,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.8794,                 1.6727,                 1.3307,                0.39203,                0.35892,                0.25827,                0.11088,                  1.942,                 2.0534,                  1.276,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.9838,                 2.1337,                 1.4851,                0.38809,                0.36792,                0.26112,                0.11143,                 1.9373,                 2.0637,                  1.273,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.7683,                 1.7518,                 1.3106,                0.28696,                0.42453,                0.23824,                0.10523,                 1.9213,                 1.9362,                  1.281,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.8309,                 1.6012,                 1.3336,                0.38954,                0.40566,                0.37065,                0.18457,                 1.8867,                 1.7292,                  1.269,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.6634,                 1.6979,                 1.1964,                0.50702,                0.46574,                0.39809,                0.19003,                 1.9078,                 1.6227,                 1.2451,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.6247,                 1.5876,                 1.2714,                0.59694,                0.43313,                0.41522,                0.19194,                 1.8814,                 1.5755,                 1.1905,             0.00026931,             0.00026931,             0.00026931
                     18,                 1.7823,                 1.5593,                 1.1964,                0.59694,                0.43313,                0.41522,                0.19194,                 1.8814,                 1.5755,                 1.1905,             0.00028278,             0.00028278,             0.00028278
                     19,                 1.7348,                 1.5047,                 1.1761,                   0.62,                0.41509,                0.45975,                0.22952,                 1.8917,                 1.6197,                 1.2022,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.7522,                  1.332,                 1.2455,                   0.62,                0.41509,                0.45975,                0.22952,                 1.8917,                 1.6197,                 1.2022,             0.00030852,             0.00030852,             0.00030852
                     21,                 1.7856,                 1.4489,                 1.2309,                0.49326,                0.48673,                0.45752,                 0.2267,                 1.8701,                 1.5637,                 1.1918,              0.0003208,              0.0003208,              0.0003208
                     22,                 1.4665,                 1.1702,                 1.0884,                0.49326,                0.48673,                0.45752,                 0.2267,                 1.8701,                 1.5637,                 1.1918,             0.00033268,             0.00033268,             0.00033268
                     23,                 1.5975,                 1.1431,                 1.1822,                0.46871,                0.50943,                0.46435,                0.22005,                 1.8937,                 1.6614,                 1.2205,             0.00034417,             0.00034417,             0.00034417
                     24,                 1.4894,                 1.1272,                 1.1529,                0.46871,                0.50943,                0.46435,                0.22005,                 1.8937,                 1.6614,                 1.2205,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.4713,                 1.2107,                 1.1471,                0.51409,                0.46914,                0.42296,                0.19983,                 1.9704,                 1.6856,                 1.2889,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.8407,                 1.5431,                 1.3169,                0.51409,                0.46914,                0.42296,                0.19983,                 1.9704,                 1.6856,                 1.2889,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.6164,                 1.2173,                 1.1473,                0.54063,                0.40566,                0.40543,                0.19117,                 1.9675,                 1.7571,                 1.3164,             0.00038615,             0.00038615,             0.00038615
